"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","Member","Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Category","Subcategory","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"Akri","Cloud Native Computing Foundation (CNCF)","https://docs.akri.sh","https://landscape.cncf.io/logos/akri.svg","https://twitter.com/ProjectAkri","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-05-13 15:30:00","A Kubernetes Resource Interface for the Edge","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/project-akri/akri",780,"A Kubernetes Resource Interface for the Edge","","https://github.com/project-akri/akri/commit/a9195f8b0a63626dfaa853365cfbaf3c4096c54a","2022-02-25 16:24:43","https://github.com/project-akri/akri/releases","2020-10-14 00:42:19","https://github.com/project-akri/akri/commit/9414ef0fc705df90e7aab083453856b9f859809d",20,"https://github.com/project-akri/akri/graphs/contributors"
"CDK for Kubernetes (CDK8s)","Cloud Native Computing Foundation (CNCF)","https://cdk8s.io/","https://landscape.cncf.io/logos/cdk-for-kubernetes-cdk8s.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-06-02 22:34:30","CDK8s lets you define Kubernetes apps and components using familiar programming languages and object-oriented APIs.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/cdk8s-team/cdk8s",2957,"Define Kubernetes native apps and abstractions using object-oriented programming","","https://github.com/cdk8s-team/cdk8s/commit/9e05f90d98369424a86fd151ac18d4f4f05707d1","2021-10-13 20:21:32","https://github.com/cdk8s-team/cdk8s/releases","2019-07-25 12:45:22","https://github.com/cdk8s-team/cdk8s/commit/ec74749ed70d1e19f910a081433a8ce2444f1e1f",53,"https://github.com/cdk8s-team/cdk8s/graphs/contributors"
"Cloud Custodian","Cloud Native Computing Foundation (CNCF)","https://cloudcustodian.io/","https://landscape.cncf.io/logos/cloud-custodian.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-06-02 22:34:30","Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/cloud-custodian/cloud-custodian",4165,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources","","https://github.com/cloud-custodian/cloud-custodian/commit/5a4eb147560d8e995e9a4df5a8c223e439f2f1be","2022-05-10 23:00:20","https://github.com/cloud-custodian/cloud-custodian/releases","2015-07-16 14:19:15","https://github.com/cloud-custodian/cloud-custodian/commit/5aa46308651d913d285039477b9141cf6ef3965d",359,"https://github.com/cloud-custodian/cloud-custodian/graphs/contributors"
"KubeDL","Cloud Native Computing Foundation (CNCF)","https://kubedl.io","https://landscape.cncf.io/logos/kube-dl.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-06-02 22:34:30","Run your deep learning workloads on Kubernetes more easily and efficiently.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/kubedl-io/kubedl",340,"Run your deep learning workloads on Kubernetes more easily and efficiently.","","https://github.com/kubedl-io/kubedl/commit/f826fd8809b84642cb35c518a4fe35a0d18868f2","2022-05-11 12:38:28","https://github.com/kubedl-io/kubedl/releases","2019-12-10 02:18:52","https://github.com/kubedl-io/kubedl/commit/61c2155db3da6eba0f638974b67ecffc190bc7a6",19,"https://github.com/kubedl-io/kubedl/graphs/contributors"
"KubeEdge","Cloud Native Computing Foundation (CNCF)","https://kubeedge.io/en/","https://landscape.cncf.io/logos/kube-edge.svg","https://twitter.com/KubeEdge","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"incubating","Apache License 2.0","San Francisco, California","2022-05-05 00:56:58","Kubernetes Native Edge Computing Framework (project under CNCF)","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/kubeedge/kubeedge",5027,"Kubernetes Native Edge Computing Framework (project under CNCF)","","https://github.com/kubeedge/kubeedge/commit/4a4df2d8848c0997fa72604474f77f97042be2af","2022-03-22 13:51:24","https://github.com/kubeedge/kubeedge/releases","2018-09-28 08:57:50","https://github.com/kubeedge/kubeedge/commit/316bd63786ff57353772847626f5f7df7f1e1f53",280,"https://github.com/kubeedge/kubeedge/graphs/contributors"
"Metal3-io","Cloud Native Computing Foundation (CNCF)","https://metal3.io/","https://landscape.cncf.io/logos/metal3-io.svg","https://twitter.com/metal3_io","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","NotOpenSource","San Francisco, California","","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",false,,,,"","","",,"","",,
"OpenYurt","Cloud Native Computing Foundation (CNCF)","https://openyurt.io/","https://landscape.cncf.io/logos/open-yurt.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-06-02 22:34:30","An open platform that extending your native Kubernetes to edge.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/openyurtio/openyurt",1204,"OpenYurt - Extending your native Kubernetes to edge(project under CNCF)","","https://github.com/openyurtio/openyurt/commit/9873e10520c2805f6f6a27db3841249766cc5d56","2022-05-30 06:46:37","https://github.com/openyurtio/openyurt/releases","2020-05-21 08:54:44","https://github.com/openyurtio/openyurt/commit/2926fffd3418155984767953c4782019c8a756d2",72,"https://github.com/openyurtio/openyurt/graphs/contributors"
"SuperEdge","Cloud Native Computing Foundation (CNCF)","https://superedge.io/","https://landscape.cncf.io/logos/super-edge.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Other","San Francisco, California","2022-06-02 22:34:30","An edge-native container management system for edge computing","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/superedge/superedge",819,"An edge-native container management system for edge computing","","https://github.com/superedge/superedge/commit/e21ecc212ad04f187ccb440c9308314c6c4eb2ef","2022-03-10 09:35:59","https://github.com/superedge/superedge/releases","2020-12-19 03:42:37","https://github.com/superedge/superedge/commit/4097ed2040b816a76d928ad9e28648eae3a9084e",50,"https://github.com/superedge/superedge/graphs/contributors"
"Tinkerbell","Cloud Native Computing Foundation (CNCF)","https://tinkerbell.org/","https://landscape.cncf.io/logos/tinkerbell.svg","https://twitter.com/tinkerbell_oss","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","2022-05-09 22:58:48","A workflow engine for provisioning bare metal.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Automation & Configuration",true,"https://github.com/tinkerbell/tink",643,"A workflow engine for provisioning bare metal.","","https://github.com/tinkerbell/tink/commit/0a800a4b5e257290c96a7ea784532ba0e63039f5","2022-01-11 20:48:47","https://github.com/tinkerbell/tink/releases","2019-10-14 17:16:01","https://github.com/tinkerbell/tink/commit/c97ab64b845bb37b863afce33537a53dbbad31eb",47,"https://github.com/tinkerbell/tink/graphs/contributors"
"Dragonfly","Cloud Native Computing Foundation (CNCF)","https://d7y.io/","https://landscape.cncf.io/logos/dragonfly.svg","https://twitter.com/dragonfly_oss","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"incubating","Apache License 2.0","San Francisco, California","2022-06-02 08:05:42","Dragonfly is an intelligent P2P based image and file distribution system, it also provides a variety of enterprise-level (efficiency, stability, safety, low-cost) product features.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Container Registry",true,"https://github.com/dragonflyoss/Dragonfly2",462,"Dragonfly is an intelligent P2P based image and file distribution system, it also provides a variety of enterprise-level (efficiency, stability, safety, low-cost) product features.","","https://github.com/dragonflyoss/Dragonfly2/commit/4ba6cb20aeec0f9538040cb225db078f43f11a66","2022-06-02 08:45:12","https://github.com/dragonflyoss/Dragonfly2/releases","2021-04-26 09:11:44","https://github.com/dragonflyoss/Dragonfly2/commit/a202e322f15fc606c5480db76da83b8711599dcb",23,"https://github.com/dragonflyoss/Dragonfly2/graphs/contributors"
